Date,Title,Amount
13-Apr-26,TIM HORTONS #4829       CALGARY,6
12-Apr-26,WALMART.CA              WALMART_CA,13.27
12-Apr-26,WALMART.CA              WALMART_CA,91.9
10-Apr-26,VILLAGE ICE CREAM       Calgary,10.5
04-Apr-26,WALMART.CA              WALMART_CA,-43.1
04-Apr-26,WALMART.CA              WALMART_CA,178.55
03-Apr-26,WALMART.CA              WALMART_CA,-27.45
03-Apr-26,WALMART.CA              WALMART_CA,-20.97
25-Mar-26,BIRDIE 001              CALGARY,2.46
25-Mar-26,BIRDIE 001              CALGARY,12.55
25-Mar-26,DEVILLE COFFEE DISTRICT Calgary,6.04
23-Mar-26,DOLLARAMA # 724         CALGARY,7.61
22-Mar-26,WALMART.CA              WALMART_CA,128.85
20-Mar-26,PUBLIC MOBILE SELF      EDMONTON,27.25
20-Mar-26,SUBWAY 36935            CALGARY,7.99
20-Mar-26,UBER TRIP               TORONTO,28.3
